performanceIndex,measure,occurrence,timeSeconds
1,1,1,0.986
2,2,1,2.256
3,3,1,3.911
4,4,1,5.134
5,5,1,7.022
6,6,1,7.578
7,7,1,8.133
8,8,1,8.911
9,9,1,10.289
10,10,1,11.200
11,11,1,12.156
12,12,1,12.911
13,13,1,13.900
14,14,1,14.622
15,15,1,15.267
16,16,1,15.933
17,17,1,16.633
18,18,1,17.244
19,19,1,18.400
20,20,1,18.956
21,21,1,20.067
22,22,1,22.067
23,23,1,23.133
24,24,1,25.578
25,25,1,26.133
26,26,1,26.689
27,27,1,27.489
28,28,1,28.400
29,29,1,29.156
30,30,1,29.911
31,31,1,30.467
32,32,1,31.244
33,33,1,32.267
34,34,1,32.933
35,35,1,33.578
36,36,1,34.444
37,37,1,35.300
38,38,1,36.156
39,39,1,36.767
40,40,1,37.500
41,41,1,38.244
42,42,1,39.178
43,43,1,39.733
44,44,1,40.489
45,45,1,41.044
46,46,1,41.600
47,47,1,42.511
48,48,1,43.589
49,49,1,44.667
50,50,1,45.222
51,51,1,45.967
52,52,1,46.533
53,53,1,47.089
54,54,1,47.644
55,55,1,48.200
56,56,1,48.911
57,57,1,49.989
58,58,1,50.855
59,59,1,51.978
60,60,1,52.733
61,61,1,53.333
62,62,1,54.133
63,63,1,55.400
64,64,1,55.956
65,65,1,56.722
66,66,1,57.533
67,67,1,58.422
68,68,1,59.167
69,69,1,59.733
70,70,1,60.522
71,71,1,61.444
72,72,1,62.200
73,73,1,62.933
74,74,1,63.778
75,75,1,64.667
76,76,1,65.222
77,77,1,65.967
78,78,1,66.767
79,79,1,67.489
80,80,1,68.267
81,81,1,69.100
82,82,1,69.833
83,83,1,70.567
84,84,1,71.467
85,85,1,72.044
86,86,1,72.978
87,87,1,73.700
88,88,1,74.478
89,89,1,75.267
90,90,1,76.200
91,91,1,76.933
92,92,1,77.567
93,93,1,78.300
94,94,1,79.022
95,95,1,79.578
96,96,1,80.700
97,97,1,81.333
98,98,1,82.089
99,99,1,83.000
100,100,1,83.633
101,101,1,84.367
102,102,1,85.100
103,103,1,85.844
104,104,1,86.867
105,105,1,87.533
106,106,1,88.133
107,107,1,88.844
108,108,1,89.600
109,109,1,90.333
110,110,1,90.911
111,111,1,91.667
112,112,1,92.433
113,113,1,93.267
114,114,1,93.933
115,115,1,94.533
116,116,1,95.289
117,117,1,96.200
118,118,1,96.756
119,119,1,97.311
120,120,1,98.300
121,121,1,99.044
122,122,1,99.978
123,123,1,100.200
124,124,1,101.115
125,1,2,102.183
126,2,2,103.667
127,3,2,106.244
128,4,2,108.067
129,5,2,109.733
130,6,2,110.289
131,7,2,111.044
132,8,2,111.900
133,9,2,112.833
134,10,2,113.511
135,11,2,114.267
136,12,2,114.822
137,13,2,115.645
138,14,2,116.533
139,15,2,117.289
140,16,2,117.989
141,17,2,118.800
142,18,2,119.556
143,19,2,120.311
144,20,2,120.867
145,21,2,121.555
146,22,2,124.378
147,23,2,125.733
148,24,2,127.489
149,25,2,128.044
150,26,2,128.600
151,27,2,129.356
152,28,2,130.111
153,29,2,130.900
154,30,2,131.633
155,31,2,132.378
156,32,2,133.133
157,33,2,133.933
158,34,2,134.444
159,35,2,135.000
160,36,2,136.156
161,37,2,136.822
162,38,2,137.800
163,39,2,138.433
164,40,2,139.267
165,41,2,140.000
166,42,2,140.689
167,43,2,141.289
168,44,2,142.200
169,45,2,142.756
170,46,2,143.911
171,47,2,144.467
172,48,2,145.022
173,49,2,145.578
174,50,2,146.933
175,51,2,147.489
176,52,2,148.044
177,53,2,148.600
178,54,2,149.156
179,55,2,149.711
180,56,2,150.300
181,57,2,151.300
182,58,2,152.333
183,59,2,153.289
184,60,2,154.067
185,61,2,154.900
186,62,2,155.711
187,63,2,156.511
188,64,2,157.100
189,65,2,158.222
190,66,2,158.867
191,67,2,159.700
192,68,2,160.289
193,69,2,161.044
194,70,2,161.900
195,71,2,162.556
196,72,2,163.267
197,73,2,163.900
198,74,2,164.644
199,75,2,165.578
200,76,2,166.300
