measure,timeSeconds
1,0.600
2,4.535
3,9.631
4,14.992
5,20.152
6,25.913
7,30.473
8,34.825
9,38.197
10,40.777
11,42.758
12,45.338
13,50.918
14,56.447
15,61.797
16,67.007
17,72.059
18,76.020
19,79.000
20,81.980
21,87.821
22,92.882
23,97.121
24,101.352
25,105.682
26,109.662
27,113.642
28,117.834
29,123.003
30,126.360
31,128.992
32,134.008
33,143.428
34,147.943
35,153.227
36,156.541
37,160.198
38,165.800
39,172.461
40,176.410
41,179.955
42,183.887
43,189.496
44,193.505
45,198.684
46,203.644
47,208.262
48,213.049
49,216.222
50,221.106
51,224.566
52,228.974
53,231.875
54,236.392
55,239.600
56,243.809
57,248.245
58,252.466
59,256.906
60,261.844
61,269.053
62,271.000
63,273.665
64,276.339
65,278.559
66,280.465
67,282.831
68,285.239
69,287.226
70,289.585
71,291.639
72,293.626
73,295.785
74,298.039
75,300.039
76,302.139
77,304.559
78,306.626
79,308.493
80,310.759
81,312.626
82,314.585
83,316.839
84,318.626
85,320.493
86,322.639
87,324.426
88,326.293
89,328.559
90,330.226
91,332.493
92,334.239
93,336.226
94,338.093
95,339.939
96,341.639
97,343.639
98,345.359
99,347.039
100,348.985
101,350.959
102,352.426
103,354.293
104,356.498
105,358.039
106,360.093
107,361.959
108,363.626
109,365.692
110,367.439
111,369.226
112,370.939
113,372.939
114,374.626
115,376.639
116,378.559
117,380.239
118,382.239
119,384.239
120,385.826
121,387.492
122,389.359
123,391.026
124,392.739
125,394.559
126,396.026
127,397.892
128,399.759
129,401.226
130,403.092
131,404.759
132,406.439
133,408.292
134,410.159
135,411.826
136,413.492
137,415.339
138,417.026
139,418.739
140,420.559
141,422.239
142,424.092
143,425.939
144,427.626
145,429.292
146,430.959
147,432.826
148,434.692
149,436.439
150,438.226
151,440.092
152,441.759
153,443.626
154,445.292
155,447.239
156,448.852
157,450.892
158,452.739
159,454.239
160,456.139
161,457.959
162,459.626
163,461.439
164,463.159
165,464.639
166,466.639
167,468.359
168,470.026
169,471.892
170,473.739
171,475.439
172,477.292
173,479.159
174,481.026
175,482.692
176,484.559
177,486.239
178,488.293
179,490.159
180,491.826
181,493.893
182,495.759
183,497.426
184,499.339
185,501.559
186,503.426
187,505.385
188,507.559
189,509.226
190,511.092
191,512.959
192,514.839
193,516.692
194,518.559
195,520.426
196,522.293
197,524.159
198,526.026
199,527.939
200,529.839
201,531.626
202,533.492
203,535.359
204,537.226
205,539.139
206,540.959
207,542.626
208,544.692
209,546.359
210,548.226
211,550.092
212,551.959
213,553.626
214,555.692
215,557.359
216,559.026
217,560.692
218,562.639
219,564.226
220,566.092
221,567.959
222,569.426
223,571.439
224,573.159
225,574.826
226,576.739
227,578.559
228,580.026
229,581.892
230,583.759
231,585.439
232,587.492
233,589.159
234,590.826
235,592.692
236,594.559
237,596.426
238,598.292
239,599.959
240,601.626
241,603.339
242,605.159
243,606.826
244,608.739
245,610.639
246,612.339
247,614.139
248,616.039
249,617.826
250,619.692
251,621.559
252,623.239
253,625.139
254,626.959
255,628.639
256,630.539
257,632.359
258,634.026
259,635.892
260,637.759
261,639.426
262,641.292
263,642.959
264,645.026
265,646.839
266,648.559
267,650.426
268,652.092
269,654.359
270,656.026
271,658.185
272,660.239
273,662.052
274,664.339
275,666.339
276,668.139
277,670.292
278,672.539
279,674.252
280,676.493
281,679.139
282,681.226
283,683.839
284,686.359
285,688.739
286,692.024
287,697.437
288,701.963
289,708.492
290,712.239
291,716.465
292,721.209
293,726.316
294,729.039
295,735.692
296,740.074
297,745.426
298,750.880
299,758.613
300,761.133
301,763.777
302,771.573
303,773.239
304,774.906
305,776.573
306,778.239
307,779.906
308,781.773
309,783.239
310,784.906
311,786.773
312,788.239
313,790.106
314,791.773
315,793.239
316,795.106
317,796.773
318,798.439
319,800.306
320,801.973
321,803.639
322,805.506
323,807.373
324,809.039
325,810.906
326,812.759
327,814.439
328,816.106
329,817.973
330,819.639
331,821.306
332,823.173
333,824.659
334,826.506
335,828.373
336,830.039
337,831.959
338,833.773
339,835.439
340,837.359
341,839.373
342,840.859
343,842.559
344,844.459
345,846.239
346,848.106
347,849.973
348,851.459
349,853.306
350,855.173
351,856.839
352,858.706
353,860.573
354,862.359
355,864.159
356,865.973
357,867.659
358,869.706
359,871.373
360,873.059
361,874.959
362,876.773
363,878.639
364,880.506
365,882.173
366,884.039
367,885.906
368,888.204
369,890.039
370,891.959
371,893.773
372,895.298
373,897.306
374,899.173
375,900.839
376,902.906
377,904.773
378,906.639
379,908.506
380,910.373
381,912.039
382,913.706
383,915.573
384,917.039
385,918.906
386,920.573
387,921.839
388,923.506
389,924.200
390,925.839
391,927.506
392,928.973
393,930.115
394,931.258
395,932.402
396,933.744
397,934.887
398,935.830
399,937.159
400,938.315
401,939.258
402,940.401
403,941.544
404,942.830
405,944.030
406,945.173
407,946.315
408,947.458
409,948.603
410,950.616
411,951.887
412,953.445
413,955.259
414,956.915
415,958.175
416,960.001
417,961.360
418,962.887
419,963.830
420,964.973
421,966.115
422,967.258
423,968.201
424,969.144
425,970.287
426,971.230
427,972.373
428,973.315
429,974.458
430,975.601
431,976.744
432,977.687
433,978.800
434,979.773
435,980.915
436,981.858
437,983.001
438,984.144
439,985.287
440,986.430
441,987.573
442,988.715
443,989.858
444,991.001
445,992.144
446,993.287
447,994.430
448,995.573
449,996.773
450,998.058
451,999.401
452,1000.544
453,1001.730
454,1003.713
455,1013.373
456,1014.515
457,1015.658
458,1016.800
